Gene	Endotype	is_seed
ADGRG1	0	0
ADORA2A	0	1
ADRA1A	0	1
ADRA1D	0	1
AVPR1A	0	1
CALCRL	0	1
CCL1	0	0
CCL11	0	0
CCL13	0	0
CCL15	0	0
CCL16	0	0
CCL26	0	0
CCL3	0	0
CCL3L3	0	0
CCL4L1	0	0
CCL8	0	0
CCR1	0	1
CCR8	0	0
CERS1	0	0
CHRM3	0	1
CXCR2	0	0
DRD2	0	1
EDN1	0	1
EDN3	0	0
EDNRB	0	1
F2R	0	1
F2RL1	0	1
FABP6	0	0
GABRR2	0	0
GJC2	0	0
GNA14	0	0
GNA15	0	0
GNAT1	0	0
GPR137	0	0
GPRASP1	0	0
GRK3	0	1
GRK6	0	1
GTF3A	0	0
HSDL1	0	0
HTR2B	0	0
ISG20	0	0
JPH3	0	0
KCNJ6	0	1
KCNJ9	0	1
MTNR1A	0	0
NIPA1	0	0
PLPP7	0	0
PRLH	0	0
PRLHR	0	1
PSCA	0	0
RAMP1	0	1
RAMP2	0	0
RGS2	0	0
SAG	0	0
SLC31A2	0	0
SLC52A2	0	0
SMO	0	1
SOX11	0	1
ST14	0	0
TCTA	0	0
TMEM8B	0	0
TSPAN7	0	0
UFSP2	0	0
ZDHHC4	0	0
ABCC4	1	1
ADA	1	0
ADCYAP1	1	1
ADCYAP1R1	1	1
ADORA3	1	1
ADRA2C	1	1
AGTR1	1	0
ARL6IP5	1	0
ARR3	1	0
ARRB1	1	0
ARRB2	1	1
ASIP	1	0
ATP12A	1	0
ATP13A2	1	0
AVP	1	0
BDKRB1	1	1
BDKRB2	1	1
C1orf112	1	0
CCL21	1	0
CCR2	1	1
CCR4	1	0
CERS6	1	0
CGA	1	0
CHRM5	1	0
CLCA4	1	0
CORT	1	0
CPAMD8	1	0
CRHBP	1	1
CRHR2	1	1
CXCL10	1	0
CXCL11	1	0
CXCL9	1	0
DPP4	1	1
EDNRA	1	1
EIF2B1	1	0
F11R	1	0
FAM241B	1	0
FAP	1	0
FSHR	1	1
GHRH	1	0
GIPC1	1	0
GJA4	1	0
GLP1R	1	0
GPC2	1	0
GPR21	1	0
GPR35	1	0
GPR37	1	0
GPR50	1	0
GPRASP2	1	0
GRP	1	0
HCRT	1	1
HCRTR1	1	1
HHATL	1	0
HRH2	1	1
HTR4	1	0
IAPP	1	1
IFNL2	1	0
LMBR1	1	0
LMBRD2	1	0
LPAR1	1	1
LPAR5	1	1
MC1R	1	1
MC2R	1	0
MC3R	1	0
MC4R	1	0
MC5R	1	0
MPZL1	1	0
NAGPA	1	0
NMUR2	1	1
NPFF	1	0
NPFFR2	1	0
NPSR1	1	1
NPY	1	1
NPY1R	1	1
NPY2R	1	0
NTNG2	1	0
NTS	1	1
NTSR1	1	1
NTSR2	1	1
OPRK1	1	1
OPRL1	1	1
OPRM1	1	1
OR4N2	1	0
OXTR	1	0
P2RY1	1	1
P2RY12	1	1
PCSK2	1	1
PDZK1	1	0
PLLP	1	0
PMCH	1	0
PNOC	1	1
POMC	1	1
PREP	1	0
PTGER1	1	1
PTGER2	1	1
PTGER3	1	1
PTGFR	1	1
PTGIR	1	1
PTH	1	0
PTH2	1	1
PTH2R	1	1
PTN	1	1
PXK	1	0
PYY	1	0
RAMP3	1	0
RTN1	1	0
RTP4	1	1
RXYLT1	1	0
S100A10	1	1
SCG5	1	0
SLC15A2	1	1
SLC19A2	1	0
SLC20A2	1	0
SLC26A6	1	0
SLC39A9	1	1
SLC41A3	1	0
SLC44A2	1	1
SLC5A3	1	0
SLC6A6	1	1
SLC9A3	1	0
SLFN14	1	0
SPNS1	1	0
SYNGR2	1	0
TAAR2	1	1
TAC1	1	1
TAC3	1	0
TAC4	1	1
TACR1	1	1
TACR2	1	0
TACR3	1	0
TMEM161A	1	0
TMEM42	1	0
TMEM63A	1	0
TTC39A	1	0
TUG1	1	0
UCN2	1	0
UTS2R	1	0
VIP	1	1
VIPR1	1	0
YIPF3	1	0
YIPF4	1	0
ADCY1	2	1
ADCY2	2	0
ADCY5	2	1
ADORA1	2	1
ADRA1B	2	0
ADRA2A	2	1
ADRB1	2	1
ADRB2	2	1
AGTR2	2	1
APBA1	2	0
AVPR2	2	0
C1QL4	2	0
C5AR1	2	1
CACNA1B	2	1
CACNA1C	2	0
CACNA1E	2	1
CACNA1H	2	1
CBLN4	2	0
CD47	2	0
CHRM1	2	1
CHRM2	2	1
CNR1	2	1
DRD4	2	0
DRD5	2	0
FZD7	2	0
GALR2	2	1
GHRL	2	0
GNA11	2	0
GNA12	2	0
GNA13	2	0
GNAI1	2	0
GNAI2	2	0
GNAI3	2	0
GNAO1	2	0
GNAQ	2	0
GNAS	2	1
GNAZ	2	1
GNB1	2	0
GNB2	2	0
GNB4	2	0
GNG2	2	0
GPR26	2	0
GRM4	2	1
HTR1A	2	1
HTR1B	2	1
HTR1D	2	0
HTR2A	2	1
KCND2	2	1
KCNJ3	2	1
KCNJ4	2	0
KCNJ5	2	1
KCNMA1	2	1
KCNMB1	2	0
LPAR3	2	1
LRRC26	2	0
LTB4R	2	0
NCS1	2	0
NOS1	2	1
NUCB1	2	0
NUFIP1	2	0
OPRD1	2	1
PCP2	2	1
PLCB1	2	1
PRKG1	2	1
PRPF40B	2	0
PTGDR	2	1
RASD1	2	0
RGS12	2	1
RGS19	2	0
RGS4	2	1
RGS7BP	2	0
RGS9	2	1
RGS9BP	2	0
RHO	2	0
S1PR1	2	0
S1PR2	2	0
S1PR3	2	1
SHISA4	2	0
SLC35B1	2	0
SNTA1	2	0
TBXA2R	2	0
TRIM39-RPP21	2	0
TSHR	2	0
UCN	2	0
UCN3	2	0
ACTN2	3	0
ADCY3	3	0
ADCY6	3	0
ADCY8	3	1
AK2	3	0
AKAP5	3	0
AKAP9	3	0
ANXA7	3	0
ARFGEF2	3	0
ARL5B	3	0
BANK1	3	0
C2orf88	3	0
CABP1	3	0
CALM1	3	0
CALML6	3	0
CAMK2A	3	1
CAMK2B	3	0
CAMK2D	3	0
CAMK2G	3	0
CAMK4	3	1
CAMKK1	3	0
CAMKK2	3	0
CD177	3	0
CREM	3	0
EMP3	3	0
FHL5	3	1
FKBP1A	3	0
GABRB2	3	1
GABRB3	3	1
GABRR1	3	1
GCH1	3	1
GRIP1	3	0
ITPR1	3	1
ITPR2	3	0
ITPR3	3	0
KCNN3	3	1
KCNQ1	3	0
KCNQ2	3	1
KCNQ3	3	1
KRIT1	3	0
MARCKS	3	0
MRVI1	3	0
MX1	3	0
NOX5	3	0
NOXA1	3	0
ORAI1	3	0
PANX1	3	0
PLCB3	3	1
PPP3CA	3	0
PRKACA	3	0
PRKAR1B	3	1
PRKCA	3	1
PRRT2	3	0
SCTR	3	0
SEMG2	3	0
SLC9A3R1	3	0
STOML3	3	1
TRPA1	3	1
TRPC1	3	1
TRPC3	3	0
TRPC4	3	1
TRPC5	3	0
TRPC6	3	0
TRPM7	3	0
TRPM8	3	1
TRPV1	3	1
TRPV2	3	1
TRPV3	3	1
VAPB	3	0
ABCA1	4	0
ADGRA3	4	0
ADGRB1	4	0
ARHGEF25	4	0
ATP2B2	4	0
ATP2B4	4	0
CACNG2	4	1
CASK	4	0
CIT	4	0
CNKSR2	4	0
CRIPT	4	0
CRISP2	4	0
CYP2B6	4	1
CYSLTR2	4	0
DLG2	4	1
DLG3	4	0
DLG4	4	1
DMD	4	1
DTNA	4	0
EPB41L2	4	0
ERBIN	4	0
FGF12	4	0
FRMPD4	4	1
GLS2	4	0
GOLM1	4	0
GRIA1	4	1
GRIA2	4	1
GRIA4	4	0
GRIK1	4	1
GRIK2	4	0
GRIK5	4	0
GRIN1	4	1
GRIN2A	4	1
GRIN2C	4	0
GRIN2D	4	1
GRIN3A	4	1
GRIN3B	4	0
GRIP2	4	0
HOMER1	4	0
HTR2C	4	1
ICA1L	4	1
IL16	4	1
IL9	4	1
ITGB1BP1	4	0
KCNA1	4	1
KCNA2	4	0
KCNA3	4	0
KCNA4	4	0
KCNA5	4	0
KCND1	4	0
KCNE4	4	0
KCNIP1	4	0
KCNJ12	4	0
KCNJ15	4	0
KCNJ2	4	0
KCNV1	4	0
LIN7A	4	0
LRRC1	4	0
MAGI3	4	0
MAP1A	4	0
MPDZ	4	1
NANOS1	4	0
NEDD4	4	0
NLGN1	4	0
NLGN2	4	1
NRXN2	4	0
OCLN	4	0
OR1D2	4	0
OR2AG1	4	0
OR3A1	4	0
PARD3	4	0
PATJ	4	1
PDLIM5	4	0
PICK1	4	1
PKP4	4	0
PLCB4	4	1
PPM1A	4	0
PRKCG	4	0
RGS3	4	0
RHBDD2	4	0
RNASEK	4	0
SCN5A	4	1
SCRIB	4	0
SHANK1	4	0
SLC4A3	4	0
SLC6A2	4	1
SLC6A3	4	1
SNTB1	4	0
SNTB2	4	0
SNTG1	4	0
SNTG2	4	0
SVOP	4	0
SYNGAP1	4	0
TANC1	4	0
TIAM1	4	0
A2M	5	0
ALB	5	0
ANKRD40	5	0
APLP2	5	0
APOA1	5	0
APOD	5	0
AUP1	5	0
BGLAP	5	0
C1QL1	5	0
C5	5	0
CA8	5	0
CALCR	5	0
CALR	5	0
CAMP	5	0
CAPN1	5	0
CCL19	5	0
CCL2	5	0
CCR10	5	0
CLEC3B	5	0
CP	5	1
CRELD2	5	0
CST3	5	0
CTSB	5	1
CTSG	5	1
CTSL	5	0
CTSS	5	1
ECM1	5	1
EPR1	5	0
F10	5	0
F2	5	1
F2RL2	5	0
F2RL3	5	1
F5	5	1
FAM20C	5	0
FURIN	5	0
GAD2	5	1
GAST	5	0
GDPD1	5	0
GLI4	5	0
GOT1L1	5	0
HBD	5	0
IFITM3	5	0
IGFBP3	5	0
IGFBP5	5	0
IGHG1	5	0
IGKC	5	0
ITIH1	5	1
ITIH2	5	1
KNG1	5	0
LCN2	5	1
LRP2	5	0
LRP8	5	0
MAOA	5	0
MEP1A	5	0
MEP1B	5	0
MMRN1	5	0
NMU	5	1
NMUR1	5	0
NPB	5	1
NPBWR1	5	0
ORM1	5	0
P4HB	5	0
PDIA3	5	0
PEMT	5	0
PHYH	5	0
PIGH	5	0
PLAU	5	0
PLG	5	0
PROC	5	0
PROCR	5	0
PROS1	5	0
PRTN3	5	0
PTHLH	5	0
QSOX1	5	0
RELN	5	1
SELPLG	5	0
SEMG1	5	0
SERPINA1	5	1
SERPINA3	5	0
SERPINB13	5	0
SERPIND1	5	0
SERPINF1	5	0
SLC10A7	5	1
SLPI	5	0
SLURP1	5	0
SNX27	5	0
SPP1	5	1
ST13	5	0
TF	5	1
TG	5	1
TPST1	5	0
UMOD	5	0
VLDLR	5	0
VTN	5	0
ZPBP2	5	0
ABCA2	6	0
ACAN	6	1
ACHE	6	1
ADAM11	6	1
ADAMTS5	6	1
AMD1	6	0
B3GLCT	6	0
BMP1	6	0
BMP3	6	0
C5orf22	6	0
CACNA2D2	6	1
CCL7	6	0
CFH	6	0
CNN3	6	0
COCH	6	0
COL14A1	6	0
COL16A1	6	0
COL1A1	6	0
COL1A2	6	0
COL25A1	6	0
COL2A1	6	0
COL4A1	6	1
COL4A2	6	0
COL4A3	6	0
COL4A4	6	0
COL4A5	6	0
COL4A6	6	0
COL5A1	6	0
COL6A1	6	0
COL6A2	6	0
COL7A1	6	0
COL9A1	6	1
COL9A2	6	0
COL9A3	6	0
COLGALT2	6	1
COLQ	6	0
COMP	6	0
CRP	6	0
CXCL12	6	0
CXCR3	6	1
DCN	6	0
DEFA1	6	0
DHFR2	6	0
FBLN1	6	0
FBLN2	6	0
FBLN5	6	0
FBN2	6	0
FCN1	6	0
FLNB	6	0
FN1	6	0
FRAT1	6	0
GALR1	6	1
HAPLN1	6	0
HTRA1	6	1
ITGA7	6	0
KISS1	6	0
LAMA1	6	0
LAMA4	6	1
LAMB1	6	0
LAMB3	6	1
LAMC2	6	0
LGALS3	6	0
LGALS8	6	0
LGALS9	6	0
LTBP1	6	1
MAG	6	0
MMP1	6	0
MMP10	6	0
MMP13	6	0
MMP17	6	1
MMP19	6	0
MMP2	6	0
MMP20	6	0
MMP24	6	1
MMP3	6	0
MMP9	6	1
NPTX1	6	1
PAM	6	0
PCOLCE	6	0
PDGFA	6	0
PF4	6	0
PLA2G2A	6	0
PLAT	6	0
PRIMA1	6	0
PRSS23	6	0
PSG9	6	0
PXDN	6	0
PZP	6	0
SAA4	6	0
SCGB1D4	6	0
SDK1	6	1
SERPINA6	6	1
SPARC	6	1
SPOCK3	6	0
TAZ	6	0
THBS1	6	0
TIMP3	6	0
TLL2	6	1
TMTC3	6	0
TNFAIP6	6	0
TNNT1	6	0
TRPM3	6	1
VCAN	6	0
VHL	6	0
VWF	6	0
ABL1	7	0
ACTA1	7	0
ACTB	7	0
ACTG1	7	0
AP2M1	7	0
ARF1	7	0
ARF6	7	0
ARHGEF40	7	0
ARMC1	7	0
ASTN1	7	1
BCAR1	7	0
BET1	7	0
CACNA1A	7	1
CACNB3	7	1
CCDC8	7	0
CD274	7	1
CDC42	7	0
CDH1	7	0
CFL1	7	0
CFTR	7	0
CHN1	7	0
CIP2A	7	0
CLTC	7	0
CNTN1	7	0
COG2	7	0
COG5	7	0
CRK	7	0
CYBA	7	0
CYBB	7	1
DGKI	7	1
DGUOK	7	0
DNAAF2	7	0
DNAH5	7	0
DNAJC5	7	0
DNM3	7	0
DPP6	7	0
DRD1	7	0
DRD3	7	1
DYM	7	0
EPS15	7	0
EXOC1	7	0
EXOC2	7	0
EXOC5	7	0
EXOC6B	7	0
EXOC7	7	0
EZR	7	0
FAF2	7	1
FGD1	7	0
FLNA	7	0
FTH1	7	0
GOLGA2	7	0
GOPC	7	0
GORASP2	7	0
GRIPAP1	7	0
HGS	7	0
HRH1	7	1
HRH3	7	1
HTR6	7	0
IL1R2	7	1
IPO11	7	0
IQGAP1	7	1
KCNB1	7	0
KCNB2	7	1
KIAA1522	7	0
KIF1A	7	1
L1CAM	7	1
LAMP1	7	0
LMNA	7	0
LPP	7	1
MMP11	7	0
MTR	7	1
MYH9	7	0
NCAM1	7	1
NCF1	7	0
NCF4	7	0
NCK1	7	0
NEDD8	7	0
NSF	7	0
NUMB	7	1
PARD6G	7	1
PCDHA6	7	0
PDCD1LG2	7	0
PDLIM7	7	0
PIP5K1C	7	1
PLEC	7	0
PLEKHA7	7	0
POTEA	7	0
PPP1R12A	7	0
PPP1R12B	7	0
PRX	7	1
RAB11A	7	0
RAB31	7	0
RAB4A	7	0
RAB5A	7	0
RAB9A	7	0
RABGGTA	7	1
RABGGTB	7	0
RAC1	7	0
RAPH1	7	1
RBSN	7	0
RGR	7	0
RHOU	7	0
RIMS1	7	0
RP2	7	0
RUFY3	7	0
SAAL1	7	0
SCNN1A	7	1
SCNN1B	7	0
SCNN1G	7	0
SCRT1	7	0
SEC22C	7	0
SGSM3	7	0
SH3GL1	7	0
SH3GL3	7	0
SHMT2	7	0
SLC12A5	7	1
SLC17A7	7	1
SLC17A8	7	1
SLC32A1	7	1
SLC39A13	7	0
SLC6A1	7	1
SLC9A3R2	7	0
SNAP25	7	1
SNAP47	7	1
SNX5	7	0
SPOCK2	7	1
SPTAN1	7	0
SRGAP3	7	0
ST8SIA2	7	0
STX1A	7	1
STX5	7	0
STXBP1	7	0
SYN2	7	1
SYT1	7	0
TES	7	0
TGOLN2	7	0
THADA	7	0
TLN2	7	1
TMEM17	7	0
TMEM216	7	0
TNPO2	7	0
TNPO3	7	0
TRPM2	7	1
TYRP1	7	1
USP8	7	1
VAMP8	7	0
VIM	7	0
VSNL1	7	0
XPO4	7	0
XPO7	7	0
ZNF799	7	0
ADAMTS4	8	1
ASTN2	8	1
CD81	8	0
ESRRB	8	1
GAN	8	0
GRID1	8	0
GRID2	8	0
GRM7	8	1
HAX1	8	0
ICAM1	8	1
IL12B	8	1
