nodeid	Endotype
ACTN2	0
ADA	0
ADRA1A	0
ADRA1D	0
ADRB2	0
AKAP9	0
CABP1	0
CACNA1C	0
CALM1	0
CLEC4D	0
CTNND2	0
DLG2	0
DLG3	0
DLG4	0
DMD	0
DRD4	0
DTNA	0
FAM174A	0
FAM241B	0
FGF13	0
GOLM1	0
HACD1	0
IL9	0
KCNA3	0
KCNA4	0
KCNA5	0
KCND3	0
KCNE1	0
KCNE2	0
KCNE4	0
KCNIP1	0
KCNJ11	0
KCNJ12	0
KCNJ16	0
KCNJ2	0
KCNJ3	0
KCNJ4	0
KCNJ5	0
KCNN2	0
KCNQ1	0
KCNQ2	0
LOC100132941	0
LOC100289290	0
MLC1	0
NAT1	0
NOS1	0
PATJ	0
PDE4DIP	0
PDLIM3	0
PKP4	0
PM20D1	0
PRKACA	0
PRKACG	0
PRKAR2A	0
PRKCA	0
RAPGEF5	0
RYR1	0
RYR2	0
RYR3	0
SCN5A	0
SGCD	0
SLC1A7	0
SLC34A3	0
SLC8A1	0
SNTA1	0
SNTB1	0
SNTB2	0
SNTG1	0
SNTG2	0
SOBP	0
SPZ1	0
TRBV12-3	0
AARS2	1
ABCC9	1
ACTN3	1
ADAM11	1
ADGRV1	1
ALG10B	1
ANK2	1
ANK3	1
ANKRD1	1
ANKRD2	1
ANKRD23	1
ART3	1
ARVCF	1
ATP2A1	1
ATP4A	1
AXDND1	1
B4GALNT3	1
B4GAT1	1
BAG3	1
BAG5	1
BCL2L13	1
BOC	1
C11orf68	1
CACNB1	1
CACNB2	1
CACNB3	1
CALR3	1
CARD10	1
CASQ2	1
CAV3	1
CDH10	1
CDH12	1
CDH4	1
CECR2	1
CFTR	1
CNTN1	1
COX15	1
CSRP3	1
CTNNA3	1
DHRS4L2	1
DLST	1
DMPK	1
DOLK	1
DPP10	1
DRICH1	1
DSC2	1
DYSF	1
EDA	1
EMX2	1
ESR2	1
EYA4	1
FAM217B	1
FAM241A	1
FAT1	1
FBXL22	1
FBXO7	1
FHOD3	1
FKTN	1
FLNC	1
FMOD	1
FREM2	1
GAA	1
GAPDH	1
GATAD1	1
GBA2	1
GDPD3	1
GIMAP8	1
GJB5	1
GPD1	1
GPD1L	1
GSTT1	1
HCN1	1
HCN3	1
HERC2	1
HIST1H2AJ	1
HIST3H3	1
HRC	1
HSCB	1
HSPA4	1
HSPB2	1
IDE	1
IFNA4	1
IL36G	1
ILK	1
ITGA8	1
ITPRIPL2	1
JPH2	1
JUP	1
KCNA6	1
KCNE3	1
KCNH2	1
KCNIP2	1
KCNJ8	1
KLHL24	1
LAMA4	1
LDB3	1
LIMS1	1
LONRF1	1
LRRC24	1
LRRC39	1
LRRC4C	1
MANEA	1
MRPL3	1
MRPL44	1
MSTN	1
MTO1	1
MYBPC1	1
MYBPC3	1
MYH6	1
MYH7	1
MYL5	1
MYOM1	1
MYOM2	1
MYOT	1
MYOZ1	1
MYOZ2	1
MYOZ3	1
MYPN	1
NDUFAF1	1
NEDD4L	1
NETO2	1
NFASC	1
NPPA	1
NPR2	1
NPR3	1
NRAP	1
OBSCN	1
OSBPL1A	1
PALM2	1
PAM	1
PEX5L	1
PGM5	1
PI4KA	1
PKD2	1
PKD2L1	1
PLN	1
POTEI	1
PPP1R21	1
PRDM16	1
PYROXD2	1
QSER1	1
RBP4	1
RCAN3	1
REM1	1
RIMS3	1
RPL3L	1
RXYLT1	1
SCN1B	1
SCN2A	1
SCN3B	1
SCN4B	1
SCO2	1
SDHA	1
SGCA	1
SGCB	1
SGCG	1
SIX1	1
SLC44A1	1
SLN	1
SPDEF	1
SRI	1
SV2A	1
SYNPO2	1
TAZ	1
TCAP	1
TECRL	1
TMEM132A	1
TMEM181	1
TMEM79	1
TNNC1	1
TNNI1	1
TNNI2	1
TNNI3	1
TNNI3K	1
TNNT1	1
TRDN	1
TRIM55	1
TRIM63	1
TSFM	1
TULP3	1
TXNDC16	1
USP6	1
UTRN	1
VEZF1	1
ZNF248	1
ZNF529	1
ZNF680	1
ABCC5	2
ACTA1	2
ACTA2	2
ACTB	2
ACTC1	2
ACTN1	2
ACTN4	2
ALB	2
APH1B	2
B9D2	2
BACE1	2
C12orf65	2
C5orf46	2
CAP2	2
CAPN1	2
CASP6	2
CCL20	2
CDH2	2
CDH24	2
CDH3	2
CFL2	2
CMIP	2
CNN1	2
CRYAB	2
CRYGD	2
CTNNA1	2
DBN1	2
DES	2
DLG1	2
DLL1	2
DOCK3	2
DRP2	2
DSC1	2
DSG2	2
DSP	2
DUX1	2
ERI3	2
EYA2	2
FABP1	2
FHL1	2
FLNA	2
FOCAD	2
FYN	2
GJA1	2
GJA5	2
HCN2	2
HCN4	2
HERPUD2	2
HIVEP2	2
HMGN2	2
ICAM5	2
IKBIP	2
KIF20A	2
KLHL28	2
LDLRAD1	2
LMNA	2
LTBP3	2
MARK1	2
MIB1	2
MIP	2
MPV17L2	2
MST1	2
MT1P3	2
MYF6	2
MYH9	2
MYL1	2
MYL2	2
MYL3	2
MYL4	2
MYLK2	2
MYO18A	2
NDEL1	2
NEB	2
NEXN	2
NHLH1	2
NOTCH3	2
NPR1	2
NUP155	2
NUP35	2
OR8U8	2
PKP2	2
PKP3	2
PPCS	2
PPP1R12C	2
PRKAG2	2
PSEN1	2
PSEN2	2
PSENEN	2
RAF1	2
RANBP9	2
RBM20	2
RNF207	2
RPE	2
RYK	2
S100A1	2
SCN1A	2
SCN2B	2
SEMA3A	2
SLC14A2	2
SMURF2	2
SMYD2	2
SYNE1	2
SYNM	2
SYNPO	2
TGFB2	2
TGFB3	2
TMEM260	2
TMPO	2
TNNC2	2
TNNT2	2
TPM1	2
TPM2	2
TPM4	2
TSNARE1	2
TTN	2
UBASH3A	2
VCL	2
YWHAE	2
YWHAQ	2
YWHAZ	2
