gene,source
LOC112267867,hpg
LOC107986931,hpg
PATL2,hpg
COMT,hpg
GDF5,hpg
LOC105373370,hpg
FKBP5,hpg
LRIG3,hpg
RTP4,hpg
SLC6A3,hpg
CTD-2334D19.1,hpg
ARL14EP-DT,hpg
USP8,hpg
PDGFC,hpg
HIC1,hpg
IL6-AS1,hpg
AQPEP,hpg
PLK2,hpg
C2orf41,hpg
RP11-115J23.1,hpg
RP11-95P13.1,hpg
MLLT10,hpg
SP4,hpg
LAMB3,hpg
CDCA3,hpg
ITGB5,hpg
LOC105375630,hpg
CUX1,hpg
UTS2,hpg
DCC,hpg
C2orf40,hpg
LOC105375457,hpg
RP11-332M4.1,hpg
UBAP2,hpg
FGF18,hpg
PACERR,hpg
RNU2-40P,hpg
ACE2,hpg
BBX,hpg
IL1B,hpg
RAPH1,hpg
TG,hpg
KDR,hpg
BAHCC1,hpg
MEF2D,hpg
NFKBIA,hpg
SORCS3,hpg
NR3C1,hpg
ADRA1A,hpg
C6orf106,hpg
TRMT9B,hpg
NUMB,hpg
RGS12,hpg
RNU6-996P,hpg
PRDM16,hpg
BMP5,hpg
TRPV2,hpg
LOC101927066,hpg
UFL1-AS1,hpg
TRPC1,hpg
AQP5-AS1,hpg
CHST3,hpg
C12orf60,hpg
RSU1,hpg
MTR,hpg
CALCRL,hpg
AL121761.1,hpg
RP1-228P16.4,hpg
NOG,hpg
CDH18,hpg
MTHFD1,hpg
MAPK14,hpg
CRHR2,hpg
CD247,hpg
SMAD3,hpg
ADARB2,hpg
DNAJA3,hpg
TRPC4,hpg
LINC00568,hpg
CDH12,hpg
CFAP418-AS1,hpg
VDR,hpg
MEFV,hpg
NSRP1,hpg
ACAN,hpg
INSR,hpg
TACC3,hpg
TSEN15,hpg
LOC105376360,hpg
LOC105375655,hpg
RP11-993B23.2,hpg
TCL1A,hpg
ESRRB,hpg
CYP1A2,hpg
GCH1,hpg
IL9,hpg
RNF213,hpg
LINC01572,hpg
SLC44A2,hpg
MYT1L,hpg
HCRTR1,hpg
IL13,hpg
LOC105375897,hpg
ASTN2,hpg
KNDC1,hpg
CLIC5,hpg
FGF13,hpg
LOC105372112,hpg
RP11-35O15.1,hpg
TNFRSF11B,hpg
LOC105373891,hpg
RETN,hpg
KIAA0040,hpg
GDF6,hpg
RNU6-815P,hpg
LOC107985507,hpg
SLC11A2,hpg
MPDZ,hpg
MMP17,hpg
LOC105370032,hpg
FILIP1,hpg
CP,hpg
LOC105377013,hpg
ARID4A,hpg
SLC25A3,hpg
CRHBP,hpg
PIK3C2G,hpg
KCNK5,hpg
TPH2,hpg
SOX5,hpg
DMD,hpg
PAX5,hpg
LINC00842,hpg
MAML3,hpg
TAAR2,hpg
ALDH1A2,hpg
LPP,hpg
TGFB2,hpg
ECM1,hpg
KCNMA1,hpg
CTSG,hpg
SYT16,hpg
GNAS,hpg
KCNG4,hpg
RP11-284G10.1,hpg
CYP3A4,hpg
FOXP2,hpg
ARMC12,hpg
KCNS1,hpg
AQP2,hpg
CCDC190,hpg
LOC101926964,hpg
SNAP47,hpg
POC5,hpg
CASC16,hpg
LOC105375567,hpg
TIPIN,hpg
FTO,hpg
TAOK3,hpg
LOC105370955,hpg
ENPP1,hpg
CACNB2,hpg
KCNN3,hpg
NGF-AS1,hpg
MTRR,hpg
PGR,hpg
NACA2,hpg
FSHR,hpg
PGAM1P1,hpg
SCN5A,hpg
TSSC1,hpg
TAAR1,hpg
SNAP25,hpg
KCNB2,hpg
CBR3-AS1,hpg
LOC105377703,hpg
MAP2K6,hpg
HFE,hpg
CEP120,hpg
MSH2,hpg
CHRNA1,hpg
C7orf50,hpg
TNC,hpg
SLC10A7,hpg
SLC27A6,hpg
SMG6,hpg
CARF,hpg
CFDP1,hpg
GABRB2,hpg
RNF144B,hpg
F2,hpg
HCRTR2,hpg
MTDH,hpg
LOC105369944,hpg
MACC1-AS1,hpg
B2M,hpg
JAKMIP3,hpg
GABRB1,hpg
TMEM18,hpg
RUNX2,hpg
ATP2C2,hpg
SUV39H2,hpg
UGT2B7,hpg
RP11-993B23.3,hpg
WWP2,hpg
ARL14EP,hpg
PTPRJ,hpg
LOC101448202,hpg
CRADD,hpg
IL1A,hpg
POLR1C,hpg
LOC105371818,hpg
GDF7,hpg
IQGAP1,hpg
ITIH2,hpg
NOTCH3,hpg
TCP11,hpg
MARCHF4,hpg
TGFB1,hpg
USP9,hpg
C17orf67,hpg
COL11A1,hpg
LINC01347,hpg
NEFM,hpg
MAML2,hpg
RNU6-962P,hpg
ZNF429,hpg
EHBP1L1,hpg
RNF123,hpg
GRK3,hpg
AMIGO3,hpg
IL18RAP,hpg
LOC105378841,hpg
IL10RB,hpg
HTR3B,hpg
LOC105378606,hpg
MSC-AS1,hpg
SHMT1,hpg
ADH1B,hpg
SCN1A-AS1,hpg
ELAC2,hpg
POLD3,hpg
KCNQ3,hpg
LOC105375078,hpg
BUD23,hpg
FHL5,hpg
ITIH1,hpg
CTC-537E7.1,hpg
ABAT,hpg
ILRUN,hpg
POLE,hpg
IRF2BP1,hpg
CYP2B6,hpg
ADAMTS4,hpg
SERPINA1,hpg
UTRN,hpg
CACNA2D3,hpg
LOC105375350,hpg
PDYN-AS1,hpg
SERPINA6,hpg
NMT1,hpg
AOC1,hpg
GPD2,hpg
AC005592.2,hpg
PARD6G,hpg
SOX11,hpg
LOC105377864,hpg
FANCL,hpg
WSCD2,hpg
LOC101929309,hpg
KDM2A,hpg
LEMD2,hpg
FGF10,hpg
LOC105376225,hpg
MGC4859,hpg
SCN1A,hpg
LOC112267956,hpg
ATP2C1,hpg
ACE,hpg
LRFN5,hpg
LOC100287329,hpg
SYN3,hpg
BMP6,hpg
ABCC2,hpg
SFRP1,hpg
IL19,hpg
ANKK1,hpg
ARVCF,hpg
LOC349160,hpg
RP11-290F24.3,hpg
SLC39A8,hpg
TXNRD2,hpg
SPAG17,hpg
C1orf177,hpg
DYNC1I1,hpg
TRPC7-AS2,hpg
TLN2,hpg
RP11-54A4.2,hpg
ZSCAN25,hpg
STAG1,hpg
AC008565.1,hpg
HTR2C,hpg
COL4A1,hpg
IL16,hpg
TRPM6,hpg
LOC105375629,hpg
MN1,hpg
CHRNA3,hpg
SYNE1,hpg
FGF3,hpg
HPSE2,hpg
HLA-DPA1,hpg
ADORA2A-AS1,hpg
ICAM1,hpg
H1F0,hpg
TEAD1,hpg
SPOCK2,hpg
CACNA2D2,hpg
LOC105373786,hpg
PATJ,hpg
BDNF-AS,hpg
FNDC3B,hpg
COLGALT2,hpg
ZSCAN20,hpg
ICA1L,hpg
NPSR1,hpg
CTD-2623N2.11,hpg
FAF1,hpg
LTA,hpg
PLCE1,hpg
STAT6,hpg
TFRC,hpg
GRM7,hpg
LINC00342,hpg
LOC101927995,hpg
TPH1,hpg
ANAPC4,hpg
LOC105377986,hpg
TGFA,hpg
